arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
baseline	harbor-house	1	c	0	lrrlr	2.137	1.364	6.266	0.422	1.000	1.000	0.933	1.000	0.905
baseline	harbor-house	1	c	0	rllrllr	3.644	1.795	24.305	1.000	1.000	1.000	0.000	0.840	0.222
baseline	harbor-house	1	c	0	rlrl	3.595	1.933	25.449	1.000	1.000	1.000	0.000	0.688	0.192
baseline	harbor-house	1	o	0	rlrrr	3.477	1.781	21.897	1.000	1.000	1.000	1.000	0.854	0.294
baseline	harbor-house	1	o	0	rrlr	4.199	1.276	22.858	1.000	1.000	1.000	0.300	1.000	0.264
baseline	harbor-house	1	c	0	rrrl	4.121	1.105	19.014	1.000	1.000	1.000	0.958	1.000	0.398
baseline	harbor-house	1	o	1	llll	3.632	2.212	29.829	1.000	1.000	1.000	1.000	0.363	0.103
baseline	harbor-house	1	o	1	llrl	2.937	2.147	18.872	0.978	1.000	1.000	1.000	0.433	0.403
baseline	harbor-house	1	c	1	lrll	7.734	1.283	78.765	1.000	1.000	1.000	0.743	1.000	0.000
baseline	harbor-house	1	c	1	rlll	3.815	4.092	62.432	1.000	1.000	1.000	0.040	0.000	0.000
baseline	harbor-house	1	o	1	rlrll	3.621	1.196	15.853	1.000	1.000	1.000	1.000	1.000	0.527
baseline	harbor-house	2	o	0	llllrr	3.604	1.642	21.701	1.000	1.000	1.000	1.000	0.960	0.301
baseline	harbor-house	2	c	0	lllr	3.531	1.057	13.307	1.000	1.000	1.000	0.514	1.000	0.637
baseline	harbor-house	2	c	0	llrll	2.436	1.519	9.101	1.000	1.000	1.000	0.000	0.999	0.810
baseline	harbor-house	2	c	0	llrr	3.787	1.475	21.514	1.000	1.000	1.000	0.000	1.000	0.307
baseline	harbor-house	2	c	0	lrrllrr	1.200	3.021	4.396	0.000	1.000	1.000	0.572	0.010	0.952
baseline	harbor-house	2	c	0	rllr	2.020	2.483	10.282	0.164	1.000	1.000	0.063	0.145	0.764
